id,title,ratings,director,writer,pri_genre,sec_genre,ter_genre,release_date,language,company,duration,eze_rank
6585,Trumpet Of Death 2,,Ugo Ugbor,"Ugo Ugbor,Gitt Young",Comedy,Drama,,6/1/2007,English,Global Update Pictures,53,568
6778,Alicia,,Patience Oghre,,Comedy,Drama,,,English,,,155
5075,Ambience,,James Alabaster,James Alabaster,Short,Drama,,9/1/2019,English,Taen Media,25,5
4402,Filth,,Douglas Enogieru,,Action,Crime,,,English,,,98
4647,Power Of Love 2,,Tarila Thompson,"Elochukwu Anigbogu,Chuks Obiorah,Donald Okoli",Drama,Romance,,10/1/2002,English,Elonel International Ltd.,,953
4822,City Hustlers,,Asuelime Ojie Eniola,Asuelime Ojie Eniola,Comedy,,,3/1/2022,English,Ojis Productions,,493
7278,Crazy Grannies,4.7,"Tope Alake,Kayode Peters","Joy Elumelu,Kayode Peters",Comedy,Drama,,8/1/2021,"Ibo,English,Yoruba",Elrab Entertainment,,490
2087,Bad Boys,,Simi Opeoluwa,,Drama,,,2/1/2003,English,Danga Movies International,,664
1808,Blackmoney ¬Æ,,Robert Peters,"Clarice Ford-Kulah,Chris Ikpefua",Action,Drama,Thriller,,English,,110,101
1120,The Quest,,Dabby Chimere,,Drama,,,9/1/2018,English,"Elofusim Media Productions,Elofusim Media Productions",57,276
1257,Celebration Of Death 2,,Franklin Chinedum Nwoko,,Drama,,,9/1/2005,English,"Blow Entertainment,Macjonaas Pictures",,586
2485,"Hers, Mine, Ours",,Deji Omoloja,Akuchinyerem Okonkwo,Short,Drama,,11/1/2021,English,Heiress Films,,9
748,Ayaba Woman'S Shades Of Love Edit,,,,Short,,,1/1/2018,English,,,3
4015,Before I Go,,Ola,Musa Jeffery David,Romance,,,2/1/2019,English,Made4TV Films,,35
3845,Grand Finale,,,,Game-Show,Reality-TV,,4/1/2018,English,"Endemol Nigeria,Storm Vision",,92
3322,Last Wedding,,Dickson Iroegbu,"Gabriel Moses,Tai Emeka Obasi",Drama,Romance,,5/1/2004,English,Amaco Investments,,868
1791,Muruci,,Abdul Andy,Abdul Andy,Drama,,,2/1/2008,Hausa,,,64
4918,Greatness 2,,Andy Nwakalor,"Glory Ekwuruke,Andy Nwakalor",Drama,,,5/1/2007,English,Samcivic Investment,115,491
2680,How To Love,,Ehizojie Ojesebholo,Frances Okeke,Drama,,,,English,,,138
3384,Ota,,Muyideen Salsila,Peter Arunu Momoh,Drama,,,10/1/2007,Yoruba,Head Master Films,,114
2936,Scars,,Tope Alake,Psalm Oderinde,Drama,,,4/1/2018,English,,118,427
1977,Critical Decision 2,,Lancelot Oduwa Imasuen,,Drama,,,4/1/2004,English,,,398
2685,My Older Kids,,Solomon Mac-Auley,Oge Mobuogwu,Drama,,,9/1/2021,English,"Avizariah,Rok Studios",,121
2314,El„©R„¨√≠N Eye,,Muhydeen S. Ayinde,"Wate Adekanbi,Abibat S. Ayinde,Muhydeen S. Ayinde",Drama,,,2/1/2009,Yoruba,,,43
4303,The Man Who Cuts Tattoos,,Michael Omonua,Michael Omonua,Drama,,,10/1/2019,,Cine9ja,76,102
7430,Royal Tears,,Ikenna Aniekwe,,Drama,,,1/1/2009,English,Trust in God Films Production,,724
180,To Love Forever,,Ralph Nwadike,,Romance,,,10/1/2003,English,"Corage Associates Production,Infinity Merchant Inc.",,336
3245,Silver Stone 2,,Uche Ama Abriel,,Drama,Romance,,8/1/2006,English,Infinity Films,,459
2193,The Wrong Money,,Mike Ogundu,Nnanna Odike,Drama,,,11/1/2008,English,Chino International,,360
967,Omo Britiko 2,,Saidi Balogun,,Drama,,,6/1/2004,Yoruba,Saidi Balogun Film Production,,485
6176,End Of The Game 2,,Tony Muonagor,,Drama,,,2/1/2004,English,Goldmark International,,69
4276,Atlanta,,Charles Novia,"Charles Novia,Happy Novia",Comedy,Drama,,12/1/2004,English,"November Productions,Ulzee Nigeria Ltd.",,745
4746,Woman Rapa,,Tony Muonagor,,Drama,,,6/1/2003,English,Great Movies Ind. Ltd.,,189
836,The Same Day,1.7,Uche Chika,Uche Chika,Crime,,,11/1/2012,English,Cud Movies International,90,64
1571,Superstar,5.7,Akay Ilozobhie,"Uyoyou Adia,Akay Ilozobhie,Chinaza Onuzo",Drama,,,12/1/2021,English,InkBlot Productions,,261
780,Uwar Mugu,,Falalu A. Dorayi,Nazir Adam Saleh,Drama,,,8/1/2014,Hausa,Mikiya Entertainment,,136
4904,Zikora,,John Njamah,Gift Collins,Drama,,,5/1/2020,English,"Mela Movies,Rok Studios",89,237
2878,The Promise,,Chidi Anyanwu Chidox,Adaoma Chijioke,Drama,,,3/1/2022,English,One & Two Productions,144,63
6081,Virtue Of Ignorance,,Charles Uwagbai,Musa Jeffery David,Drama,,,5/1/2022,English,Oakfil Productions,108,211
4830,When Love Dies,,Okey-Zubelu Okoh,Olusegun Ajayi,Drama,,,2/1/2019,English,"Aflik Tv,Lod Houz Films",,231
1301,Ogere,,Akinkongi,Akinkongi,Drama,,,,English,Akins Squared,,376
505,Our Husband,,Ikechukwu Onyeka,"Abigail Amana,Morris Sesay",Comedy,,,4/1/2017,English,Believe Media,111,387
6729,Explosion 3: Now Or Never,,Teco Benson,,Action,,,4/1/2006,English,TFP Global Network,,253
7081,America Visa,,Kenneth Egbuna,,Drama,,,10/1/2004,English,Elonel International Ltd.,,419
3996,Insecurity 2,,MacCollins Chidebe,,Drama,,,10/1/2007,English,Magic Movies Production,,441
328,The Bond: A Boy In The Middle,,Tola Balogun,,Drama,,,6/1/2008,English,Papel Image,,45
525,One Bite,,Chris Eneaji Eneng,Abe Samuel,Drama,,,9/1/2016,English,"C&C Screen Productions,Rok Studios",,208
5187,Against My Blood 2,,Nonso Emekaekwue,,Drama,,,8/1/2006,English,Akagod Investments,,587
6282,Untold,,Emmanuel Akaemeh,Darlington Chukwunyere,Drama,,,5/1/2022,English,Rok Studios,,110
710,Cold War 2,,Andy Amenechi,,Drama,,,6/1/2005,English,Annex Merchandise Ltd.,,841
2530,Baby Police 2,,Amayo Uzo Philips,,Drama,,,12/1/2003,English,Onye Eze Holding Production,,255
5576,Pretty Evil,,Great Valentine Edochie,Ovi Odiete,Drama,Fantasy,,1/1/2023,English,After Work Creative,,270
7475,The Trusted,,,Queen Kate Ajike,Mystery,,,1/1/2022,English,Kate Angel Productions,,8
6560,The Broken Plate,,Chimdi Chiama,,Drama,,,2/1/2004,English,Sheborn Productions,,395
1015,A Brighter Sun,,Tchidi Chikere,,Drama,,,3/1/2007,English,"Great Movies Ind. Ltd.,Sunny Collins Production",,200
4100,Elewon,,Abiodun Olanrewaju,Dele Ogundipe,Drama,,,3/1/2009,Yoruba,Corporate Pictures,,620
7329,The Boy Is Mine,,Richards Omos-Iboyi,Beth Rogers,Comedy,,,12/1/2018,English,Rok Studios,88,341
6483,Without Goodbye 2,,Chijoke Edward Enenta,Joy Stephen Anozie,Drama,,,12/1/2009,English,Holyghost Production,,676
5494,Stolen Lives,,Emmanuel Mang Eme,Tunde Babalola,Drama,,,9/1/2015,English,"Kross Entertainment,Nelson Jombo Productions",101,589
1077,Picture Perfect,,Tope Alake,Biodun Stephen,Drama,,,4/1/2016,English,ShutterSpeed Projects,,198
6719,Edge Of Paradise,8.7,,,Drama,,,4/1/2006,English,Royal Roots Productions,,230
3420,The Guest,,Okey Ifeanyi,Desmond A. Ken,Drama,,,2/1/2022,English,Corpuschristi Production,106,268
5648,Birthing Pains,,Chinneylove Eze,Blessing Ire,Drama,,,6/1/2022,English,ChinneyLove Eze Production,,337
4909,Blind Love,,Omotoso V. Seun,,Short,Drama,,8/1/2022,English,Black Parrot Movies,38,1
1622,Who Is Perfect,,Dabby Chimere,,Drama,,,1/1/2023,English,African Movie Channel,,155
5216,Emotional Blunder,,Ikechukwu Onyeka,"Pascal Amanfo,Victor Ibe,Kelly Ohakwe",Drama,,,11/1/2006,English,Kas-Vid International,,790
4755,Akanchawa,,Obi Callys Obinali,,Drama,,,9/1/2005,English,Elonel International Ltd.,,205
1741,Husbands Of Lagos,,,,Drama,,,12/1/2015,English,Rok Studios,,1128
6672,Biological Clock,,Reginald Ebere,Chisom Juliet Okereke,Drama,,,1/1/2018,English,Divine Touch Productions,,284
2854,Blood Of Enogie,,,,Drama,,,5/1/2021,English,"Creative Unit Studios,Rok Studios",,441
4346,Home Coming,8.7,Biyi Bandele,"Kemi Adesoye,Biyi Bandele",Drama,,,12/1/2013,,"MTV Staying Alive Foundation,MTV Staying Alive Foundation",,262
1370,Just Not Married,5,Uduak-Obong Patrick,Lani Aisida,Comedy,,,9/1/2016,,,102,205
1115,Be With Me,7.2,,,Drama,,,2/1/2022,English,,,407
4616,Heart Of Stone 2,,Evan Orji,Linus Okeke,Drama,,,8/1/2010,English,Bright Sea Int'l,,586
3304,Love Is War,7.2,Omoni Oboli,Chinaza Onuzo,Drama,,,9/1/2019,English,"InkBlot Productions,Dioni Visions,Dioni Visions entertainment",111,701
5689,Blood Sister,8.9,Tchidi Chikere,"Tchidi Chikere,John Nkeiruka Nwatu",Drama,,,,English,,47,842
2066,No Way Out 2,,Iyke Odife,,Drama,,,6/1/2005,English,Kensimon Production,,396
7112,The End Is Near,,Ugezu J. Ugezu,"Cajetan Obi,Ugezu J. Ugezu",Drama,,,3/1/2012,English,"Cajetan Obi Production,Cobic Productions",,693
2678,Brethren,,,,Drama,,,10/1/2019,English,Africa Magic,,69
4352,Carbin Kwai,,Ali Nuhu,Ali Nuhu,Drama,,,1/1/2011,Hausa,FKD Production,,213
5244,Miz Behaviour,5.3,Biodun Stephen,"Abe Samuel,Biodun Stephen",Comedy,,,12/1/2020,English,ShutterSpeed Projects,113,395
884,Love Double,,Temitope Joshua,Jenine Okafor,Short,Drama,,9/1/2021,English,Firematic Entertainment,32,65
4185,Spanner 3,,Moses Ebere,,Comedy,Drama,,8/1/2004,English,Be Good Ventures,,386
